Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
1,Grand Theft Auto V,2014.0,Action,Rockstar Games,4.7,3.25,0.01,0.76,8.72
2,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
3,Call of Duty: WWII,2017.0,Shooter,Activision,3.75,1.91,0.0,0.57,6.23
4,Red Dead Redemption 2,2018.0,Action-Adventure,Rockstar Games,3.76,1.47,0.0,0.54,5.77
5,MineCraft,2014.0,Misc,Microsoft Studios,3.23,1.71,0.0,0.49,5.43
6,Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,3.25,1.49,0.01,0.48,5.22
7,Battlefield 1,2016.0,Shooter,Electronic Arts,3.37,1.26,0.02,0.48,5.13
8,Fallout 4,2015.0,Role-Playing,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03
9,Halo 5: Guardians,2015.0,Shooter,Microsoft Studios,2.94,1.49,0.03,0.45,4.92
10,Call of Duty: Infinite Warfare,2016.0,Shooter,Activision,2.91,1.44,0.0,0.44,4.79
11,Star Wars Battlefront (2015),2015.0,Shooter,Electronic Arts,2.49,1.26,0.02,0.38,4.15
12,Forza Horizon 3,2016.0,Racing,Microsoft Studios,1.64,1.96,0.02,0.32,3.93
13,FIFA 17,2016.0,Sports,Electronic Arts,1.04,2.4,0.0,0.27,3.71
14,Gears of War: Ultimate Edition,2015.0,Shooter,Microsoft Studios,2.88,0.37,0.0,0.37,3.62
15,Assassin's Creed: Unity,2014.0,Action,Ubisoft,2.34,0.9,0.0,0.34,3.58
16,Halo: The Master Chief Collection,2014.0,Shooter,Microsoft Studios,2.06,1.04,0.03,0.31,3.44
17,Destiny,2014.0,Shooter,Activision,2.17,0.92,0.0,0.32,3.41
18,Gears of War 4,2016.0,Shooter,Microsoft Studios,2.17,0.9,0.0,0.32,3.38
19,FIFA 16,2015.0,Sports,EA Sports,0.92,2.1,0.0,0.24,3.25
20,FIFA 18,2017.0,Sports,EA Sports,0.98,1.92,0.0,0.23,3.14
21,Titanfall,2014.0,Shooter,Electronic Arts,1.88,0.91,0.04,0.28,3.11
22,Call of Duty: Ghosts,2013.0,Shooter,Activision,1.92,0.86,0.0,0.28,3.07
23,Overwatch,2016.0,Shooter,Blizzard Entertainment,1.63,0.84,0.0,0.25,2.72
